name,children,size
APBB1,"PRNP	1",0.1
APBB1,"LRP1	1",0.1
APBB1,"TFCP2	1",0.1
APC,"JUP	1",0.1
APC,"CSNK1E	1",0.1
APC,"PRKACA	1",0.1
APC,"PPP2R5A	1",0.1
APC,"KIFAP3	1",0.1
APC,"SIAH1	1",0.1
APC,"BUB1	1",0.1
APC,"MAPRE1	1",0.1
APC,"AXIN1	1",0.1
APC,"RP1	1",0.1
APC,"AXIN2	1",0.1
APC,"ARHGEF4	1",0.1
APC,"DLGAP1	1",0.1
APEX1,"CSNK2A1	1",0.1
APEX1,"GZMA	1",0.1
APEX1,"HSPA1A	1",0.1
APEX1,"XRCC6	1",0.1
APEX1,"NME1	1",0.1
APEX1,"HMGB2	1",0.1
APEX1,"PCNA	1",0.1
APEX1,"TXN	1",0.1
APEX1,"TP53	1",0.1
APEX1,"XRCC1	1",0.1
APEX1,"NXF2	1",0.1
APEX1,"FEN1	1",0.1
APEX1,"HDAC1	1",0.1
APEX1,"EP300	1",0.1
APEX1,"HNRNPL	1",0.1
APEX1,"HIF1A	1",0.1
APEX1,"MUTYH	1",0.1
APEX1,"ANP32C	1",0.1
APEX1,"DCTN1	1",0.1
APEX1,"POLB	1",0.1
APEX1,"ANP32A	1",0.1
APEX1,"SET	1",0.1
APEX1,"UBE2I	1",0.1
APOA1,"PDE1A	1",0.1
APOA1,"TTR	1",0.1
APOA1,"APOB	1",0.1
APOA2,"APOC1	1",0.1
APOA2,"APOD	1",0.1
APOA2,"C4A	1",0.1
APOA2,"PLTP	1",0.1
APOA2,"APOA1BP	1",0.1
APOA4,"GPLD1	1",0.1
APOB,"CALR	1",0.1
APOB,"CANX	1",0.1
APOB,"PPIB	1",0.1
APOB,"HSPA5	1",0.1
APOB,"HSPA1A	1",0.1
APOB,"HSP90AA1	1",0.1
APOB,"LIPC	1",0.1
APOB,"MTTP	1",0.1
APOB,"HSP90B1	1",0.1
APOB,"BGN	1",0.1
APOB,"LRP2	1",0.1
APOB,"LDLR	1",0.1
APOB,"PDIA4	1",0.1
APOB,"SEC61B	1",0.1
APOB,"HSPA8	1",0.1
APOB,"SEC61A2	1",0.1
APOD,"LEPR	1",0.1
APOE,"LRP1	1",0.1
APOE,"CTSB	1",0.1
APOE,"MAP2	1",0.1
APOE,"MAPT	1",0.1
APOE,"NEFM	1",0.1
APOE,"PLTP	1",0.1
APOE,"PRNP	1",0.1
APOE,"VLDLR	1",0.1
APOE,"LRP2	1",0.1
APOE,"SCARB1	1",0.1
APOE,"LRP8	1",0.1
APOE,"LDLR	1",0.1
APOF,"APOA2	1",0.1
APOF,"APOA1	1",0.1
APP,"EPB41	1",0.1
APP,"CLU	1",0.1
AQP1,"EPHB2	1",0.1
AQP1,"PICK1	1",0.1
AR,"JUN	1",0.1
AR,"CCND1	1",0.1
AR,"GNB2L1	1",0.1
AR,"RB1	1",0.1
AR,"GTF2F1	1",0.1
AR,"GTF2F2	1",0.1
AR,"GTF2H1	1",0.1
ARAF,"RRAS	1",0.1
ARAF,"PIK3R1	1",0.1
ARAF,"MAP2K1	1",0.1
ARAF,"PKM2	1",0.1
ARAF,"RABGGTB	1",0.1
ARAF,"HRAS	1",0.1
ARF3,"SLC2A4	1",0.1
ARF6,"ARRB1	1",0.1
ARF6,"ARRB2	1",0.1
ARG1,"ARG2	1",0.1
ARHGAP1,"PIK3R1	1",0.1
ARHGAP5,"SMURF2	1",0.1
ARHGDIA,"RDX	1",0.1
ARHGDIB,"VAV1	1",0.1
ARID3A,"E2F1	1",0.1
ARID4A,"EID1	1",0.1
ARID4A,"HDAC3	1",0.1
ARNT,"SMAD9	1",0.1
ARR3,"PTAFR	1",0.1
ARR3,"RHO	1",0.1
ARR3,"SRC	1",0.1
ARRB1,"CLTC	1",0.1
ARRB1,"CSK	1",0.1
ARRB1,"CXCR2	1",0.1
ARRB1,"FGR	1",0.1
ARRB1,"OPRD1	1",0.1
ARRB1,"PTH1R	1",0.1
ARRB1,"PTHLH	1",0.1
ARRB1,"MAPK1	1",0.1
ARRB1,"SLC9A5	1",0.1
ARRB1,"DVL1	1",0.1
ARRB1,"CCR5	1",0.1
ARRB1,"RALGDS	1",0.1
ARRB1,"NSF	1",0.1
ARRB1,"MAPK3	1",0.1
ARRB1,"DVL2	1",0.1
ARRB1,"CYTH2	1",0.1
ARRB1,"TRHR	1",0.1
ARRB2,"CSNK2A1	1",0.1
ARRB2,"CSNK2A2	1",0.1
ARRB2,"CLTC	1",0.1
ARRB2,"NTSR1	1",0.1
ARRB2,"MDM2	1",0.1
