CNGA3,1
CNGB1,1
CNGB3,2
CNNM4,1
CNTNAP2,1
COA5,1
COCH,1
COG1,1
COG7,1
COG8,1
COL10A1,1
COL11A1,2
COL11A2,4
COL17A1,2
COL18A1,2
COL1A1,9
COL1A2,6
COL2A1,9
COL3A1,3
COL4A1,9
COL4A3,6
COL4A4,6
COL4A5,3
COL5A1,3
COL5A2,3
COL6A1,6
COL6A2,3
COL6A3,3
COL7A1,2
COL8A2,2
COL9A2,3
COL9A3,3
COLQ,1
COMP,2
COQ2,2
COQ9,1
COX1,1
COX15,1
COX3,1
COX4I2,1
COX6B1,1
CPOX,1
CPS1,1
CPT1A,4
CPT2,2
CRB1,2
CRBN,1
CREBBP,8
CRELD1,1
CRLF1,1
CRP,1
CRTAP,1
CRX,2
CRYAB,2
CRYBA4,1
CSF1R,4
CSRP3,1
CST3,1
CSTB,1
CTH,5
CTLA4,4
CTNNB1,24
CTNND2,1
CTNS,1
CTRC,2
CTSA,2
CTSB,28
CTSC,2
CTSD,48
CTSH,1
CTSK,2
CUL4B,1
CUL7,2
CX3CR1,1
CXCR4,4
CYB5A,2
CYB5R3,3
CYBA,2
CYBB,2
CYCS,14
CYLD,3
CYP11A1,4
CYP11B1,12
CYP11B2,4
CYP17A1,12
CYP19A1,20
CYP1B1,1
CYP21A2,4
CYP27A1,1
CYP27B1,2
CYP4F22,1
CYP4V2,1
CYP7B1,2
CYTB,9
DAG1,1
DAPK1,3
DARS2,1
DBH,3
DBT,1
DCAF17,1
DCC,9
DCLRE1C,1
DCN,2
DCTN1,9
DCX,1
DCXR,2
DDB1,1
DDB2,1
DDIT3,1
DDR2,1
DDX11,1
DDX5,1
DES,4
DFNA5,1
DFNB31,2
DGUOK,1
DHCR24,1
DHCR7,2
DHH,1
DKC1,2
DLAT,3
DLD,6
DLG3,2
DLL3,1
DLX3,2
DMD,3
DMGDH,1
DMP1,1
DMPK,1
DMRT1,1
DNAAF1,1
DNAAF2,1
DNAH11,1
DNAH5,1
DNAI1,1
DNAI2,1
DNAJC19,1
DNM2,10
DNMT3B,1
DOCK8,1
DOK7,2
DOLK,1
DPAGT1,1
DPM1,1
DPP6,1
DPYD,7
DPYS,1
DSC2,1
DSC3,1
DSG1,1
DSG2,1
DSG4,1
DSP,5
DSPP,1
DTNBP1,1
DUOX2,1
DUX4,1
DYM,1
DYNC1H1,2
DYNC2H1,2
DYSF,3
ECM1,1
EDA,2
EDAR,1
EDARADD,1
EDN3,3
EDNRB,8
EFEMP1,1
EFEMP2,1
EFHC1,1
EFNB1,1
EGF,8
EGFR,352
EGLN1,1
EGR2,1
EHMT1,1
EIF2AK3,2
EIF2B1,2
EIF2B2,2
EIF2B3,2
EIF2B4,2
EIF2B5,2
ELANE,5
ELK4,1
ELN,2
ELOVL4,1
EMD,2
EMG1,1
EML4,1
ENAM,1
ENG,1
ENPP1,6
ENTPD1,1
EOMES,1
EP300,6
EPAS1,1
EPB41,1
EPB42,1
EPCAM,1
EPHX1,1
EPM2A,1
EPOR,4
EPX,1
ERBB2,108
ERBB3,6
ERCC1,1
ERCC2,6
ERCC3,5
ERCC4,1
ERCC5,1
ERCC6,3
ERCC8,2
ERG,2
ESCO2,1
ESPN,1
ETFA,1
ETFB,1
ETFDH,1
ETV1,2
ETV4,2
ETV5,1
ETV6,1
EVC,1
EVC2,1
EWSR1,4
EXT1,4
EXT2,4
EYA1,1
EYS,1
F11,9
F12,2
F13A1,2
F13B,1
F2,300
F5,4
F8,2
F9,4
FAH,1
FAM126A,1
FAM161A,1
FAM20C,1
FANCA,1
FANCB,1
FANCC,1
FANCD2,1
FANCE,1
FANCF,1
FANCG,1
FANCI,1
FANCL,1
FANCM,1
FAS,4
FASLG,1
FASTKD2,1
FBLN1,1
FBLN5,2
FBN1,12
FBN2,1
FBP1,1
FBXO7,1
FCGR2A,1
FCGR2B,1
FCGR3A,2
FCGR3B,19
FECH,1
FERMT1,1
FERMT3,1
FEV,1
FGA,54
FGB,4
FGD1,1
FGD4,1
FGF10,6
FGF14,1
FGF23,3
FGF3,3
FGF8,3
FGFR1,16
FGFR2,54
FGFR3,18
FGG,4
FH,3
FHIT,6
FHL1,4
FIG4,2
FIGF,2
FKBP10,1
FKRP,3
FKTN,3
FLCN,2
FLG,1
FLI1,1
FLNA,8
FLNB,2
FLNC,1
FLT3,3
FLT4,5
FLVCR1,1
FMR1,2
FOXC1,1
FOXC2,1
FOXE1,1
FOXE3,1
FOXF1,1
FOXG1,1
FOXI1,1
FOXL2,2
FOXN1,1
FOXO1,4
FOXP2,1
FOXP3,2
FOXRED1,1
FRAS1,1
FREM1,2
FREM2,1
FRMD7,1
FSCN2,1
FSHR,15
FTL,4
FTO,2
FTSJ1,1
FUCA1,1
FUS,4
FXN,2
FZD4,1
G6PC,2
G6PC3,2
G6PD,4
GAA,2
GABRA1,134
GABRD,1
GABRG2,4
GAD1,2
GALC,1
GALE,7
GALK1,1
GALNS,2
GALT,1
GAMT,8
GARS,2
GATA1,2
GATA4,1
GATM,6
GBA,12
GBE1,1
GCDH,2
GCH1,2
GCK,30
GCLC,2
GCNT2,1
GCSH,1
GDAP1L1,1
GDF1,2
GDF3,2
GDF5,4
GDF6,2
GDI1,1
GDNF,2
GFAP,1
GFM1,1
GGCX,14
GH1,2
GHR,4
GHRH,1
GHRHR,2
GIGYF2,1
GJA1,3
GJA5,1
GJB1,1
GJB2,5
GJB3,3
GJB4,1
GJB6,2
GJC2,1
GK,1
GLA,1
GLB1,6
GLDC,2
GLE1,2
GLI2,1
GLI3,2
GLIS2,1
GLIS3,1
GLMN,1
GLRA1,11
GLRB,2
GLRX5,2
GLUL,4
GM2A,4
GNAI2,4
GNAS,12
GNAT1,1
GNAT2,1
GNE,3
GNMT,4
GNPAT,1
GNPTAB,1
GNPTG,1
GNRHR,9
GNS,3
GORAB,1
GP1BA,1
GP1BB,1
GP9,1
GPC3,3
GPC6,3
GPD1L,1
GPHN,1
GPI,8
GPR143,2
GPR56,1
GPR98,2
GPX1,1
GRHPR,1
GRIA3,3
GRIK2,21
GRK1,1
GRM6,1
GRN,1
GSN,4
GSS,6
GSTP1,13
GSTT1,1
GTF2H5,1
GUCA1A,1
GUCA1B,1
GUCY2D,2
GUSB,2
GYS1,1
GYS2,1
H19,2
H6PD,1
HADH,4
HADHA,2
HAL,1
HAMP,1
HAX1,1
HBA1,2
HBA2,20
HBB,60
HCCS,1
HCN4,2
HDAC4,2
HDC,2
HEPACAM,1
HES7,1
HESX1,2
HEXA,2
HEXB,6
HFE,1
HFE2,1
HGD,1
HGSNAT,2
HHEX,1
HIBCH,1
HK1,8
HLA-DMA,1
HLA-DPA1,1
HLA-DPB1,1
HLA-DQA1,5
HLA-DQB1,8
HLA-DRB1,21
HLCS,1
HMBS,1
HMCN1,1
HMGCL,1
HMGCS2,1
HMX1,1
HNF1A,1
HNF1B,3
HNF4A,2
HOXA1,1
HOXA11,1
HOXA13,2
HOXD10,1
HOXD13,4
HPD,2
HPGD,1
HPRT1,7
HPS1,1
HPS3,1
HPS4,1
HPS5,1
HPS6,1
HPSE2,2
HR,3
HRAS,210
HRG,1
HSD11B1,36
HSD11B2,1
HSD17B10,9
HSD17B3,2
HSD17B4,3
HSD3B2,12
HSD3B7,2
HSPB1,2
HSPB11,1
HSPB8,2
HSPD1,2
HSPG2,3
HTRA1,1
HTRA2,1
HTT,1
HUWE1,1
HYAL1,2
HYMAI,1
ICAM1,4
ICK,1
ICOS,1
IDH3B,1
IDS,2
IDUA,2
IFIH1,1
IFNG,4
IFNGR1,2
IFNGR2,2
IFT122,1
IGBP1,1
IGF1,6
IGF1R,18
IGF2,9
IGF2BP2,1
IGF2R,1
IGHMBP2,1
IGLL1,1
IHH,2
IKBKG,6
IL10,2
IL12B,2
IL12RB1,1
IL13,2
IL17F,1
IL17RA,1
IL1A,1
IL1RAPL1,1
IL1RN,1
IL2,14
IL21,1
IL23R,1
IL2RA,8
IL2RG,1
IL4,1
IL4R,1
IL6,1
IL7R,1
IMPDH1,10
IMPG2,1
INF2,1
INHA,1
INPP5E,1
INS,15
INSL3,1
INSR,20
INVS,1
IQCB1,1
IQSEC2,1
IRAK4,1
IRF6,2
ITGA2B,6
ITGA6,4
ITGA7,1
ITGA9,2
ITGB2,3
ITGB3,32
ITGB4,3
ITPR1,5
ITPR3,5
IVD,2
IYD,1
JAG1,6
JAK2,3
JAK3,1
JAZF1,1
JPH3,1
JUP,2
KAL1,1
KANK1,1
KARS,1
KCNA1,8
KCNA5,1
KCNC3,1
KCNE1,1
KCNE2,2
KCNE3,1
KCNH2,42
KCNJ1,8
KCNJ10,1
KCNJ11,42
KCNJ13,2
KCNJ18,1
KCNJ2,4
KCNJ5,1
KCNK9,1
KCNQ1,8
KCNQ1OT1,1
KCNQ2,6
KCNQ4,1
KCNV2,1
KDM5C,1
KERA,2
KIAA0196,1
KIAA1279,2
KIF1B,1
KIF21A,1
KIF5A,2
KIRREL3,1
KISS1R,2
KIT,60
KITLG,3
KLF1,1
KLF11,1
KLHL7,1
KLK4,1
KLKB1,2
KMT2A,2
KMT2D,1
KRAS,90
KRIT1,1
KRT1,4
KRT10,2
KRT12,1
KRT13,1
KRT14,3
KRT16,2
KRT17,1
KRT2,1
KRT3,1
KRT4,1
KRT5,2
KRT6A,1
KRT6B,1
KRT74,1
KRT75,1
KRT81,1
KRT83,1
KRT85,1
KRT86,1
KRT9,1
L1CAM,6
LAMA2,1
LAMA3,9
LAMB2,1
LAMB3,3
LAMC2,3
LAMP2,1
LARGE,2
LBR,2
LCA5,1
LCAT,1
LCK,52
LCT,1
LDB3,2
LDLR,6
LEMD3,2
LEPRE1,1
LFNG,1
LGI1,1
LHCGR,18
LHX3,1
LHX4,1
LIFR,1
LIG1,3
LIG4,2
LIPA,1
LIPH,2
LITAF,1
LMAN1,1
LMBR1,3
LMBRD1,1
LMF1,1
LMNA,45
LMO2,1
LMX1B,1
LOC100132941,2
LOR,1
LPAR6,2
LPIN2,1
LPL,4
