A1CF,2
A2M,6
AAAS,4
AADAT,2
AANAT,1
AARS,1
AARS2,1
AASDHPPT,1
AASS,4
AATF,1
ABAT,9
ABCA1,6
ABCA10,1
ABCA12,2
ABCA2,1
ABCA3,1
ABCA4,12
ABCA6,1
ABCA7,1
ABCA8,1
ABCA9,1
ABCB1,6
ABCB10,1
ABCB11,2
ABCB4,1
ABCB5,1
ABCB6,1
ABCB7,2
ABCB8,1
ABCC1,2
ABCC10,1
ABCC11,1
ABCC2,2
ABCC3,2
ABCC4,2
ABCC5,3
ABCC6,1
ABCC8,72
ABCC9,4
ABCD1,2
ABCD2,1
ABCD3,1
ABCG1,2
ABCG2,2
ABCG4,1
ABCG5,2
ABCG8,2
ABHD5,1
ABI1,1
ABI2,1
ABL1,84
ABL2,3
ABLIM1,1
ABLIM2,1
ABLIM3,1
ABR,1
ACAA1,1
ACACA,1
ACACB,5
ACAD8,2
ACADL,1
ACADM,3
ACADS,3
ACADSB,2
ACADVL,2
ACAT1,1
ACD,2
ACE,34
ACE2,2
ACER1,1
ACER2,1
ACER3,1
ACHE,144
ACIN1,1
ACLY,1
ACMSD,1
ACO2,2
ACOT8,1
ACOX1,1
ACOX2,1
ACOX3,1
ACP5,1
ACSL1,2
ACSL3,1
ACSL4,3
ACSL5,1
ACSL6,1
ACSM1,1
ACSM2B,1
ACSS1,2
ACSS2,2
ACTA1,3
ACTA2,1
ACTB,6
ACTC1,3
ACTG1,4
ACTG2,1
ACTN1,2
ACTN2,4
ACTN3,2
ACTN4,2
ACTR1A,2
ACTR1B,1
ACTR2,1
ACTR3,1
ACVR1B,2
ACVR1C,2
ACVR2A,2
ACVR2B,2
ADA,16
ADAL,1
ADAM10,4
ADAM12,2
ADAM17,5
ADAM9,1
ADAMTS14,1
ADAMTS2,1
ADAMTS3,1
ADAR,3
ADARB1,2
ADC,2
ADCY1,12
ADCY2,6
ADCY3,6
ADCY4,6
ADCY5,6
ADCY6,6
ADCY7,6
ADCY8,6
ADCY9,6
ADCYAP1,1
ADCYAP1R1,1
ADD1,2
ADH1A,6
ADH1B,10
ADH1C,20
ADH4,3
ADH6,1
ADH7,2
ADHFE1,1
ADI1,1
ADIPOQ,1
ADK,1
ADM,1
ADM2,1
ADORA1,10
ADORA2A,11
ADORA2B,4
ADORA3,2
ADRA1A,79
ADRA1B,43
ADRA1D,26
ADRA2A,180
ADRA2B,70
ADRA2C,93
ADRB1,44
ADRB2,48
ADRB3,11
ADRBK1,3
ADSL,1
ADSS,1
ADSSL1,1
AFMID,1
AGAP2,1
AGER,1
AGL,1
AGMAT,1
AGO1,4
AGO2,4
AGO3,4
AGO4,4
AGPAT1,1
AGPAT2,1
AGPAT3,1
AGPAT4,1
AGPAT5,1
AGPAT6,1
AGPAT9,1
AGPS,1
AGRN,4
AGT,3
AGTR1,11
AGTR2,1
AGXT,7
AGXT2,4
AHCTF1,2
AHCY,4
AIM2,1
AIMP1,1
AIMP2,1
AK1,1
AK2,1
AK3,1
AK5,1
AKAP1,1
AKAP10,1
AKAP13,1
AKAP5,2
AKAP9,1
AKR1B1,58
AKR1B10,2
AKR1C1,14
AKR1C3,24
AKR1C4,3
AKR1D1,1
AKT1,50
AKT1S1,3
AKT2,64
AKT3,6
ALAD,8
ALAS1,2
ALAS2,1
ALB,4
ALCAM,1
ALDH18A1,1
ALDH1A1,5
ALDH2,12
ALDH4A1,1
ALDH5A1,3
ALDH6A1,1
ALDH7A1,1
ALDH9A1,2
ALDOA,8
ALDOB,1
ALDOC,1
ALG1,1
ALG10,1
ALG10B,1
ALG11,1
ALG12,1
ALG13,1
ALG14,1
ALG2,1
ALG3,1
ALG5,1
ALG6,1
ALG8,1
ALG9,1
ALKBH2,1
ALKBH3,1
ALMS1,1
ALOX12,1
ALOX12B,1
ALOX15,1
ALOX15B,1
ALOX5,14
ALOX5AP,1
ALYREF,4
AMACR,2
AMBP,2
AMD1,4
AMDHD1,1
AMER1,1
AMICA1,3
AMN,1
AMOT,1
AMOTL1,1
AMOTL2,1
AMPD1,1
AMPD2,1
AMPD3,1
AMY1A,5
AMY1B,1
AMY1C,1
AMY2A,1
AMY2B,1
ANAPC1,5
ANAPC10,5
ANAPC11,5
ANAPC13,1
ANAPC2,5
ANAPC4,5
ANAPC5,5
ANAPC7,5
ANGPT1,1
ANGPT2,1
ANGPT4,1
ANGPTL4,2
ANK1,1
ANK2,1
ANK3,1
ANKLE2,2
ANKRD1,1
ANO1,1
ANO10,1
ANO2,1
ANO3,1
ANO4,1
ANO5,2
ANO6,1
ANO7,1
ANO8,1
ANO9,1
ANP32A,2
ANPEP,2
ANXA1,3
AP1B1,3
AP1G1,3
AP1M1,3
AP1M2,3
AP1S1,3
AP1S2,3
AP1S3,3
AP2A1,5
AP2A2,5
AP2B1,5
AP2M1,6
AP2S1,5
AP3B1,1
AP3M1,1
AP3S1,1
AP4B1,1
AP4E1,1
APAF1,2
APBB1IP,2
APC,10
APCS,3
APEX1,1
APH1A,3
APH1B,3
APIP,1
APITD1,2
APITD1-CORT,2
APLN,1
APLNR,1
APOA1,12
APOA2,3
APOA5,1
APOB,4
APOBEC1,2
APOBEC3G,1
APOC2,3
APOC3,3
APOE,18
APOL1,1
APP,4
APPL1,1
APRT,4
AQP1,2
AQP10,1
AQP11,1
AQP2,1
AQP3,1
AQP4,1
AQP5,1
AQP6,1
AQP7,1
AQP8,1
AQP9,1
AR,164
ARAP1,1
ARAP2,1
ARAP3,1
ARCN1,1
ARF1,4
ARF3,1
ARFGAP1,2
ARFGEF2,1
ARG1,12
ARG2,3
ARHGAP1,1
ARHGAP10,2
ARHGAP11A,1
ARHGAP11B,1
ARHGAP12,1
ARHGAP15,1
ARHGAP17,1
ARHGAP18,1
ARHGAP19,1
ARHGAP20,1
ARHGAP22,1
ARHGAP23,1
ARHGAP24,1
ARHGAP25,1
ARHGAP26,1
ARHGAP29,1
ARHGAP30,1
ARHGAP31,1
ARHGAP32,1
ARHGAP33,1
ARHGAP35,2
ARHGAP36,1
ARHGAP39,2
ARHGAP4,1
ARHGAP44,1
ARHGAP5,1
ARHGAP6,1
ARHGAP8,1
ARHGAP9,1
ARHGDIA,1
ARHGDIB,1
ARHGDIG,1
ARHGEF1,1
ARHGEF11,2
ARHGEF12,2
ARHGEF16,1
ARHGEF17,1
ARHGEF18,1
ARHGEF2,1
ARHGEF25,1
ARHGEF3,1
ARHGEF4,1
ARHGEF6,2
ARHGEF7,2
ARHGEF9,6
ARIH1,1
ARIH2,1
ARNT,1
ARNTL,1
ARPC1A,1
ARPC2,1
ARPC3,1
ARPC4,1
ARPC4-TTLL3,1
ARPC5,1
ARPP19,2
ARRB1,4
ARRB2,3
ARSA,2
ARSB,3
ARSD,2
ARSE,2
ARSF,2
ARSG,2
ARSH,2
ARSI,2
ARSJ,2
ARSK,2
ART1,2
ARTN,1
ASAH1,1
ASAH2,1
ASB1,1
ASB10,1
ASB11,1
ASB12,1
ASB13,1
ASB14,1
ASB15,1
ASB16,1
ASB17,1
ASB18,1
ASB2,1
ASB3,1
ASB4,1
ASB5,1
