source,target
GRB2,PTK2
GRB2,PTPRE
GRB7,KIT
GRIA2,PRKCA
GRIA2,SPTAN1
GRIA3,LYN
GRIA4,IQGAP1
GRID2,PTPN4
GRIN1,PRKCB
GRIN1,PRKCE
GRIN1,PRKCG
GRIN1,RAP2A
GRIN1,SPTAN1
GRIN1,HRAS
GRIN2D,PRKCB
GRIN2D,PRKCE
GRIN2D,PRKCG
GRIN2D,RAP2A
GRIN2D,SPTAN1
GRIN2D,HRAS
GRK5,RCVRN
GRK5,RHO
GRK5,TBXA2R
GRK6,RCVRN
GRK6,RHO
GRK6,TBXA2R
GRM1,PRKCA
GRN,SLPI
GRN,SMAD9
GSK3A,PRKCA
GSK3A,PRKCB
GSK3A,PRKCD
GSK3A,PRKCG
GSK3B,PTPN1
GSK3B,PRKCB
GTF2A1,GTF2E1
GTF2A1,GTF2E2
GTF2A1,GTF2F1
GTF2A2,GTF2E1
GTF2B,REL
GTF2B,JUN
GTF2B,GTF2E1
GTF2B,GTF2E2
GTF2B,GTF2F1
GTF2B,GTF2F2
GTF2E1,GTF2E2
GTF2E1,GTF2F2
GTF2E1,GTF2H1
GTF2E1,TBP
GTF2E1,TCEA1
GTF2E1,GTF2H4
GTF2E1,SND1
GTF2E1,TRIM24
GTF2E1,TAF6
GTF2E2,GTF2F1
GTF2E2,GTF2F2
GTF2E2,GTF2H1
GTF2E2,XPA
GTF2E2,TBP
GTF2E2,SND1
GTF2E2,MNAT1
GTF2E2,NUP62
GTF2E2,ATF7IP
GTF2E2,SUPT16H
GTF2F1,GTF2F2
GTF2F1,MYC
GTF2F1,TAF1
GTF2F1,SRF
GTF2F1,CTDSP1
GTF2F1,ATF7IP
GTF2F2,JUN
GTF2F2,HTATSF1
GTF2F2,TBP
GTF2F2,TAF5
GTF2F2,C19orf2
GTF2F2,POLR2E
GTF2F2,TRAM2
GTF2H1,PIK3R1
GTF2H1,PLCG1
GTF2H1,TP53
GTF2H1,XPA
GTF2H1,XPC
GTF2H1,HNRNPU
GTF2H1,KIF13A
GTF2H1,ATF7IP
GTF2H1,FUBP1
GTF2H1,MMS19
GTF2H1,GTF2H2
GTF2I,PRRX1
GTF2I,MYC
GTF2I,SRC
GUCY2D,S100B
HBG2,SMAD5
HCFC1,JUN
HCFC1,SP1
HCLS1,LYN
HDAC1,PHB
HDAC1,PCNA
HDAC1,NR2F2
HDAC1,RB1
HDAC1,ARID4A
HDAC1,RBL2
HDAC1,TAL1
HDAC1,PTMA
HDAC1,SP1
HDAC2,ARID4A
HDAC2,PTMA
HDAC2,SP1
HDAC6,TUBB
HDAC6,TUBA1B
HDLBP,SMAD4
HFE,TFRC
HHEX,JUN
HIF1A,JUN
HIST1H1B,MELK
HIST1H1E,CBX5
HIST1H1E,CBX1
HIST1H1E,CBX3
HIST3H3,CBX5
HIST3H3,CBX1
HIST3H3,CBX3
HK2,SLC2A4
HK2,PRKCE
HLA-DQA2,INS
HLA-DQB1,INS
HLA-DRB1,TRA@
HLA-DRB1,TRB@
HLA-DRB3,POMC
HMGA1,JUN
HMGA1,NFYA
HMGA1,SP1
HMGB1,PRKCA
HNRNPA2B1,SNRNP70
HNRNPK,VAV1
HNRNPK,LYN
HNRNPK,PRKCD
HNRNPK,ITK
HNRNPK,SRC
HNRNPU,PTPN11
HRAS,VAV1
HRAS,PIK3R1
HRAS,PIK3CA
HRAS,MAP2K1
HRAS,SOS1
HRAS,PDGFB
HRAS,SRC
HRAS,IRAK1
HRAS,TIAM1
HRAS,MAPK8
HRAS,PIK3CG
HRAS,SOS2
HRAS,DGKZ
HRAS,RALGDS
HRAS,PDE6D
HRAS,SHOC2
HRAS,PIK3CD
HRAS,IRAK2
HRAS,RASGRP1
HRAS,RABAC1
HRAS,BRAP
HRAS,RASSF1
HRAS,RIN1
HRAS,IKZF3
HRAS,RASSF5
HRAS,GPSM2
HRAS,ICMT
HRAS,RASGRP4
HRAS,RGL4
HRAS,RAP1GDS1
HRAS,TTC1
HRAS,RGL1
HRAS,RASIP1
HRAS,RASSF2
HRAS,RIT2
HRAS,ZBTB12
HSP90AA1,SLC2A4
HSPA4,RAF1
HSPA8,REL
HSPA8,RB1
HSPA8,RAF1
HSPA8,SP1
HTR1B,HTR1D
HUS1,PCNA
ID3,PAX5
ID3,SREBF1
IDH2,SLC2A4
IFNA2,IFNAR1
IFNAR1,IFNW1
IFNAR1,IFNB1
IFNAR1,PIK3R1
IFNAR1,PTPN11
IFNAR1,PTPN6
IFNAR1,TYK2
IFNAR1,MAPK1
IFNAR1,GNB2L1
IFNAR1,STAT2
IFNAR1,PRKACA
IFNAR2,GNB2L1
IFNG,IFNGR1
IFNGR1,IFNGR2
IFNGR1,JAK1
IGFBP7,INS
IGFBP7,SDC1
IGFBP7,CCL5
IKBKB,EIF2AK2
IKBKB,PRKCZ
IKBKB,YWHAB
IKBKB,UBB
IL13RA1,TYK2
IL1RAP,PIK3R1
IL6ST,VAV1
IL6ST,OSM
IL6ST,PTPN11
IL6ST,PTPN6
IL6ST,TYK2
IL6ST,PRKCD
ILK,ITGB3
ING1,PCNA
INPP4A,PIK3R1
INPP4A,SMAD1
INPP5D,LYN
INPP5D,PECAM1
INPP5D,PTPN11
INPPL1,SRC
INS,NOV
INS,LRP2
INS,SYTL4
INS,TXNDC17
IRAK1,PRKCZ
IRF3,SERPINB2
IRF4,SPI1
IRF8,SPI1
ISL1,LMO2
ITGA1,TLN1
ITGA2B,ITGB3
ITGA9,SPP1
ITGAV,SPP1
ITGAV,ITGB3
ITGAV,PDGFRA
ITGB2,PRKCA
ITGB2,PRKCB
ITGB2,PRKCD
ITGB2,GNB2L1
ITGB2,PRTN3
ITGB2,CYTH1
ITGB2,TLN1
ITGB3,PDGFRB
ITGB3,PECAM1
ITGB3,PDGFRA
ITGB3,TLN1
ITGB3,THBS1
ITGB3,SRC
ITGB3,TGM2
ITGB3,P2RY2
ITGB3,PTK2
ITGB3,NUMB
ITGB3,PDPK1
ITGB3,ITGB3BP
ITGB3,ANGPTL3
ITGB3,TENC1
ITGB3,VTN
ITK,PLCG1
ITK,WAS
ITK,KPNA2
ITK,LCP2
ITK,LAT
ITK,KHDRBS1
ITK,SOCS1
ITK,SH2D2A
ITK,BLNK
ITSN1,SOS1
JUN,SPI1
JUN,POU1F1
JUN,MAF
JUN,RB1
JUN,NFYA
JUN,SP1
JUN,TPM1
JUN,TAF1
JUN,TBP
JUN,STAT1
JUN,STAT4
JUN,PRKDC
JUN,SMAD4
JUN,PIN1
JUN,MAPK8
JUN,NACA
JUN,SMAD2
JUN,TDG
JUN,SMARCD1
JUN,VDR
JUN,MAPK3
JUN,SUMO1
JUN,NCOA3
JUN,NRIP1
JUN,TGIF1
JUN,NCOA1
JUN,MAPK9
JUN,TCF20
JUN,SMAD3
JUN,TRIP4
JUN,MYBBP1A
JUN,PRKD1
JUN,DDX21
JUN,SPIB
JUN,PACS1
JUN,COPS5
JUN,MAFB
JUN,RFWD2
JUN,HDAC3
JUN,UBE2I
JUN,RBM39
JUN,RAGE
JUN,MAPKAPK5
JUN,BATF
JUN,CREB5
JUN,COBRA1
JUN,TPM2
JUN,PIAS1
JUN,RPL18A
JUN,JDP2
JUN,SNRK
JUN,SUMO2
JUN,SUMO3
JUN,FBXW7
JUNB,SMAD4
JUNB,MAPK8
JUNB,SMAD3
JUNB,BATF
JUNB,JDP2
JUND,TBP
JUND,NFE2L2
JUND,SMAD4
JUND,MAPK8
JUND,MAPK9
JUND,COPS5
JUND,RFWD2
JUND,BATF
JUND,JDP2
JUP,ZFYVE9
JUP,PECAM1
JUP,PTPRF
JUP,PTPRJ
JUP,PKD1
JUP,TCF7L2
JUP,PTPRK
JUP,PKP2
JUP,PTPN14
JUP,BTRC
JUP,AXIN1
KCNA2,KCNA4
KCNA2,PTPRA
KCNA2,KCNAB1
KCNA2,KCNAB2
KCNA2,KCNA5
KCNA2,KCNA3
KCNA4,DLGAP1
KCNA4,SNTG1
KCNB1,STX1A
KCNE1,PRKCA
KCNE1,KCNQ1
KCNJ1,PRKCD
KCNJ4,PRKCD
KIT,LYN
KIT,PIK3R1
KIT,PLCG1
KIT,PTPN11
KIT,PTPN6
KIT,PRKCA
KIT,KITLG
KIT,SRC
KIT,MATK
KIT,STAT1
KIT,PTPRO
KIT,TEC
KIT,PIK3R2
KIT,SOCS1
KIT,GRAP
KIT,GRAP2
KIT,SH2B3
KIT,MPDZ
KIT,SPRED1
KIT,STAP1
KIT,SH2B2
KIT,SPRED2
KITLG,PIK3CD
KITLG,CLEC11A
KLC1,ODF1
KLF5,PRKCD
KLF5,GTF2E2
KLF5,GTF2F2
KLF6,SP1
KLK3,SLPI
KLK3,PTHLH
KLK3,PLG
KLK3,SEMG1
KLK3,SERPINA1
KLK3,SERPINA5
KLK3,PZP
KLRB1,PTPN6
KNG1,PLG
KNG1,PLAUR
KNG1,THBS1
KPNA1,PAX5
KPNA1,SRP19
KPNA2,PAX5
KPNA2,RAG1
KPNA2,PTMA
KPNB1,PTHLH
KPNB1,PTMA
KRAS,PIK3CG
KRAS,RALGDS
KRAS,SHOC2
KRAS,RASSF5
KRAS,RASGRP2
KRAS,RAP1GDS1
KRAS,RASSF2
KRIT1,RAP1A
KRT7,ATF7IP
KRT7,LAPTM5
L1CAM,PRNP
L1CAM,RDX
LAIR1,PTPN11
LAMA3,PLG
LAMA3,PLAT
LAPTM5,SMURF2
LAPTM5,HERC1
LAPTM5,UBAC1
LAPTM5,DCUN1D1
LAPTM5,HEY1
LAPTM5,ANKRD13A
LAPTM5,EPN3
LAPTM5,USP13
LAPTM5,WWP1
LAPTM5,RNF168
LAPTM5,EPN1
LAPTM5,HUWE1
LAPTM5,EPN2
LAPTM5,NEDD4L
LAPTM5,TOM1L2
LASP1,PRKAR2B
LBP,RPS21
LCP2,VAV1
LCP2,LYN
LCP2,PLCG1
LCP2,PTPN6
LCP2,ZAP70
LDLR,PF4
LEPR,PTPN11
LIG4,NHEJ1
LIPC,LRP1
LMNB1,MELK
LMO1,TAL2
LMO1,TAL1
LMO1,LDB1
LMO2,TAL2
LMO2,TAL1
LMO2,RLIM
LMO2,RBBP8
LMO2,KDM5A
LMO2,LDB1
LNPEP,SMAD9
LPHN1,ANKS1A
LPL,LRP1
LRP1,FURIN
LRP1,LTF
LRP1,MDK
LRP1,SERPINE1
LRP1,PLAT
LRP1,PLAUR
LRP1,SCN3A
LRP1,THBS1
LRP1,PDGFB
LRP1,SRC
LRP1,HSP90B1
LRP1,MMP13
LRP1,SHC1
LRP1,MMP14
LRP1,PRKACA
LRP1,GTPBP1
LRP1,MMP15
LRP1,MMP16
LRP1,MMP17
LRP1,MAPK8IP1
LRP1,GIPC1
LRP1,SNX17
LRP1,ITGB1BP1
LRP1,MAPK8IP2
LRP1,NOS1AP
LRP1,GULP1
LRP1,SYNJ2BP
LRP1,ANAPC10
LRP2,SERPINE1
LRP2,TTR
LRP2,SLC9A3
LRP2,TLN1
LRP2,TG
LRP5,SMAD9
LRP5,THBS1
LSAMP,PRNP
LYN,PLCG1
LYN,PECAM1
LYN,PTPN6
LYN,TYK2
LYN,PRKCD
LYN,MATK
LYN,SYK
LYN,PDE4A
LYN,PLCG2
LYN,PRKCQ
LYN,SHC1
LYN,PTK2
LYN,PRKDC
LYN,PIK3CG
LYN,MAPK3
LYN,MAP4K1
LYN,KHDRBS1
LYN,RGS16
LYN,PPP1R8
LYN,NPHS1
LYN,BCAR1
LYN,UNC119
LYN,TRAT1
LYN,SKAP1
LYN,SKAP2
LYN,TRPV4
LYN,PAG1
LYN,GAB2
LYN,PRAM1
LYN,GAB3
LYN,PPP1R15A
LYN,CBLC
LYN,BANK1
LYN,GP6
LYN,EVL
LYN,NEDD9
LYN,CHST15
LYN,SH2B2
LYN,DOK3
MAF,MYB
MAF,USF2
MAF,MAFG
MAF,SOX9
MAF,MAFA
MAFG,PRRX1
MAP2K1,RPS6KA2
MAP2K1,TRAF3
MAP2K1,LAMTOR3
MAP2K1,RPS6KA4
MAP2K1,CPNE1
MAP2K1,CPNE4
MAP2K1,TRIB1
MAP2K1,PEBP4
MAP2K1,MAPK8IP3
MAP2K1,KSR2
MAP2K1,PARVA
MAP3K10,PHB
MAP3K4,MAP2K1
MAP3K5,EIF2AK2
MAP3K5,TXN
MAP3K5,TPD52L1
MAPK1,VAV1
MAPK1,MAP2K1
MAPK1,PTPN5
MAPK1,PTPN1
MAPK1,PTPN7
MAPK1,RB1
MAPK1,RXRA
MAPK1,SREBF1
MAPK1,SP1
MAPK1,ZFP36
MAPK1,TP53
MAPK1,RPS6KA3
MAPK1,SREBF2
MAPK1,SHC1
MAPK1,NKX2-1
MAPK1,UBTF
MAPK1,SCNN1G
MAPK1,MAP2K2
MAPK1,STAT5A
MAPK1,RPS6KA1
MAPK1,RPS6KA2
MAPK1,METAP2
MAPK1,NCOA3
MAPK1,KHDRBS1
MAPK1,PXN
MAPK1,PTPRH
MAPK1,TNFSF11
MAPK1,NCOA1
MAPK1,PTPRR
MAPK1,IER3
MAPK1,SNCG
MAPK1,LAMTOR3
MAPK1,KLF11
MAPK1,PPP1R9B
MAPK1,TNFRSF25
MAPK1,IQGAP1
MAPK1,PEA15
MAPK1,RPS6KA4
MAPK1,STAT5B
MAPK1,DYRK1B
MAPK1,RGS19
MAPK1,HDAC4
MAPK1,GAB2
MAPK1,FRS3
MAPK1,UBR5
MAPK1,GORASP2
MAPK1,TPR
MAPK1,TNIP1
MAPK1,TOB1
MAPK1,MAPKAPK5
MAPK1,MKNK1
MAPK1,DUSP16
MAPK1,CALCOCO1
MAPK1,KSR2
MAPK1,MAFA
MAPK1,NDE1
MAPK1,SORBS3
MAPK1,CEP55
MAPK1,RET
MAPK14,JUNB
MAPK14,PTPN7
MAPK14,MAPK1
MAPK14,RET
MAPK14,SCN8A
MAPK14,GRB2
MAPK3,MAP2K1
MAPK3,PTPN5
MAPK3,PTPN7
MAPK3,RET
MAPK3,SREBF1
MAPK3,TAL2
MAPK3,TAL1
MAPK3,SP1
MAPK7,RXRA
MAPK8,REL
MAPK8,RET
MARCKS,PRKCA
MARCKS,PRKCB
MARK2,GSK3B
MATK,SRC
MBP,MELK
MC2R,POMC
MC5R,POMC
MCHR1,PMCH
MCL1,PCNA
MDM4,RB1
MECOM,HDAC1
MECOM,SMAD3
MECOM,HDAC4
MECOM,KAT2B
MED1,RXRA
MED22,MED8
MED22,MED30
MED22,MED9
MED22,MED11
MEF2A,TEAD1
MEF2C,SP1
MEF2D,SP1
MELK,SF3B1
MEOX1,PAX1
MEOX2,PAX1
MEP1A,PTH
MEP1A,PLG
MEP1A,POMC
MEP1B,PRKCD
MET,SNAPIN
MET,PCBD2
MET,VAV1
MET,SNX2
MET,SMC1A
MET,DNAJA3
MFAP4,SFTPD
MKI67,PRKCB
MKNK2,MAPK1
MMP10,BCAN
MMP12,PLAUR
MMP13,TIMP3
MMP14,TIMP2
MMP14,TIMP3
MMP3,SERPINE1
MMP3,TIMP3
MMP3,TIMP1
MMP3,BCAN
MMP3,CCL13
MMP3,CCL8
MMP3,SPOCK1
MMP3,SPOCK3
MMP7,SPP1
MMP7,PLG
MMP7,SERPINA1
MMP7,BCAN
MMP7,NGF
MNAT1,RB1
MOG,PRNP
MS4A2,GRB2
MSH3,PCNA
MSH4,RPA1
MSH6,PCNA
MST1R,YES1
MST1R,PIK3R1
MST1R,PLCG1
MST1R,SRC
MUTYH,PCNA
MUTYH,RPA1
MXD1,MYC
MYB,PAX5
MYB,MAPK1
MYB,SND1
MYB,TTF2
MYB,MYBBP1A
MYB,HIPK2
MYB,UBE2I
MYB,NLK
MYBPC3,TTN
MYC,MAP2K1
MYC,RB1
MYC,FBXW7
MYC,NFYB
MYC,SP1
MYC,TUBA4A
MYC,YY1
MYC,TIAM1
MYC,MAPK8
MYC,TFAP2B
MYC,SMARCB1
MYC,TP73
MYC,MAPK7
MYC,TUBA3C
MYC,TUBA1A
MYC,TUBA1B
MYC,SUPT3H
MYC,TRRAP
MYC,NMI
MYC,ZBTB17
MYC,PFDN5
MYC,TUBA8
MYC,MYCBP
MYC,RAGE
MYC,MYCBP2
MYC,SPAG9
MYC,MINA
MYLK,PRKCA
MYLK,SRC
MYO7A,PRKAR1A
MYOD1,NR2F2
NAT1,NAA10
NBR1,TTN
NBR1,CIB1
NBR1,FEZ1
NCAM2,PRNP
NCAN,TNC
NCF4,PRKCD
NCF4,TXN
NCK1,RRAS
NCK1,PDGFRB
NCK1,SOS1
ND1,TST
NEDD8,NAE1
NEDD8,CUL2
NEDD8,CUL4B
NEDD8,TP53
NEDD8,PTK2
NEDD9,PTPN11
NEK2,MAPK1
NEK3,VAV1
NEK3,PRLR
NF2,SPTBN1
NFATC1,PIM1
NFATC1,PRKCA
NFATC2,PRKCZ
NFE2L2,PRKCD
NFKBIA,PTPN1
NFKBIB,RXRA
NFYA,NFYB
NFYA,SP1
NFYA,USF1
NFYA,USF2
NFYA,SRF
NFYA,SRSF1
NFYA,NFYC
NFYA,ZHX3
NFYA,ZHX1
NFYA,ZHX2
NFYB,SP1
NFYB,CNTN2
NFYB,TBP
NFYB,TP73
NFYB,NFYC
NFYB,CEBPZ
NFYB,CSDA
NGF,PLG
NIT1,ZFYVE9
NKX2-1,PAX8
NONO,SPI1
NOTCH1,NOV
NOTCH1,RBP3
NOTCH4,DLL4
NOTCH4,MAML1
NOTCH4,FBXW7
NOV,DLL1
NOV,S100A4
NPAS2,RXRA
NPHS1,YES1
NPM1,XPO1
NR0B1,SREBF1
NR2F2,SQSTM1
NR2F2,TRIM24
NR2F2,BCL11A
NR2F2,BCL11B
NR2F2,PIAS1
NR2F2,FAM46A
NR2F6,NR2F2
NR4A1,RPS6KA1
NR4A1,RPS6KA3
NR4A1,RPS6KA5
NR4A1,YWHAZ
NR4A2,RXRA
NR4A2,RXRB
NR5A1,JUN
NR5A1,MAPK1
NR5A1,NFYA
NR5A1,SP1
NR5A1,PITX1
NR5A1,NRIP1
NR5A1,NCOA1
NR5A1,TBX19
NR5A1,SOX9
NR5A1,SOX2
NR5A1,GTF2B
NR5A1,GATA4
NR5A1,EDF1
NR5A1,TRERF1
NR5A1,ZNF653
NR5A1,PIAS1
NR5A1,SOX8
NR5A1,PNRC2
NRAP,TLN1
NRAP,KBTBD10
NRCAM,PTPRB
NRGN,PRKCA
NRGN,PRKCB
NRGN,PRKCG
NSF,STX4
NSMAF,GNB2L1
NTRK1,PLCG1
NTRK1,PTPN1
NTRK1,RAP1A
NTRK2,PTPN1
NTRK3,PLCG1
NTRK3,PTPN1
NTRK3,MAPK1
OAZ1,ODC1
OAZ2,ODC1
ODF1,ODF2
ODF1,TRIP6
ODF1,SPAG4
ODF1,SPAG5
OGG1,PRKCA
OPCML,PRNP
OPRD1,OPRK1
OPRD1,PRKCA
OPRD1,PRKCE
OPRD1,PRKCD
OPRD1,OPRM1
OPRD1,KLHL3
OPRK1,SLC9A3R1
ORC2,RPA1
ORC2,RPA2
OSBP,VAPA
OSM,OSMR
OVGP1,STATH
OXT,OXTR
P4HB,PRNP
P4HB,TG
PA2G4,PRKCA
PA2G4,PRKCB
PA2G4,PRKCG
PA2G4,RB1
PAFAH1B1,CLIP1
PAK1,PLCG1
PAK1,MAP2K1
PAK2,RPS6
PAM,PRKCA
PAM,KALRN
PAM,RASSF9
PAM,UHMK1
PAPPA,PLG
PAPPA,PRG2
PAPPA,TNNI3
PARP1,PCNA
PARP1,RXRA
PARP1,RPS3A
PARP1,TP53
PARP1,XRCC1
PARP1,POLA1
PARP1,PRKDC
PARP1,MYBL2
PARP1,BUB3
PARP1,ZNF423
PARP1,WRN
PARP1,NCOA6
PARP1,APTX
PARP1,XRCC5
PARP1,PARP2
PARP1,SWAP70
PARP1,RBM14
PARP1,SREK1
PARP1,NEDD8
PAWR,PRKCZ
PAX2,RB1
PAX2,MAPK8
PAX2,WT1
PAX2,PAXIP1
PAX2,SFRP2
PAX5,TLE4
PAX7,HIRA
PAX8,WBP2
PAX9,KDM5B
PBX2,RPL4
PCNA,RPA1
PCNA,PTMA
PCNA,XRCC1
PCNA,RFC2
PCNA,SUB1
PCNA,PRKDC
PCNA,CHAF1A
PCNA,RAD9A
PCNA,POLH
PCNA,WRN
PCNA,MYBBP1A
PCNA,GADD45G
PCNA,CCNO
PCNA,APEX2
PCNA,POLE
PCNA,POLB
PCNA,XRCC5
PCNA,POLL
PCNA,DNTTIP2
PCNA,POLD3
PCNA,KCTD13
PCNA,CHTF18
PCNA,DSCC1
PCNA,POLD2
PCNA,POLM
PCNA,CHTF8
PCNA,POLDIP2
PCNT,CEP55
PCOLCE,PLG
PCSK5,REN
PCSK6,PMCH
PDC,YWHAZ
PDC,PRKACA
PDE4D,GNB2L1
PDE6D,RAP1A
PDE6D,RAP2B
PDE6D,GRK1
PDE6D,GRK7
PDE6G,FNBP1
PDGFA,PDGFRA
PDGFA,SPARC
PDGFA,PDAP1
PDGFB,PDGFRB
PDGFB,PDGFRA
PDGFB,THBS1
PDGFB,PDAP1
PDGFRA,PLCG1
PDGFRA,PDGFRB
PDGFRA,PTPN11
PDGFRA,SHB
PDGFRA,SLC9A3R1
PDGFRA,SNX2
PDGFRA,SNX4
PDGFRA,PDGFC
PDGFRA,SNX6
PDGFRB,PIK3R1
PDGFRB,PIK3CA
PDGFRB,PLCG1
PDGFRB,EIF2AK2
PDGFRB,PTPN11
PDGFRB,PTPN1
PDGFRB,SHC1
PDGFRB,PTK2
PDGFRB,PTPRJ
PDGFRB,SNX1
PDGFRB,NCK2
PDGFRB,SLC9A3R1
PDGFRB,PDAP1
PDGFRB,PTPN2
PDGFRB,SNX2
PDGFRB,SNX4
PDGFRB,PDGFD
PDHA1,PDHB
PDHA2,PDHB
PDHB,PDHX
PDIA3,TAP1
PDPK1,PRKCB
PDPK1,PRKCE
PDPK1,PRKCD
PDPK1,PRKCZ
PDZK1,SLC9A3
PDZK1,SLC17A1
PEBP1,MAP2K1
PEBP1,MAPK1
PEBP1,PRKCA
PEBP1,PRKCB
PEBP1,PRKCD
PEBP1,PRKCG
PEBP1,PRKCZ
PECAM1,YES1
PECAM1,PIK3R1
PECAM1,PLCG1
PECAM1,PTPN11
PECAM1,PTPN6
PECAM1,PRKCE
PECAM1,SRC
PEX10,PEX2
PEX19,ABCD3
PF4,PROC
PF4,SRGN
PF4,THBD
PFKFB2,PRKCA
PFKFB2,PRKAA2
PFKFB2,YWHAZ
PFKFB2,PRKACA
PFKFB2,PRKAA1
PFKL,PFKM
PFKP,DYNLL1
PFN1,PIK3R1
PFN1,WASF1
PFN1,WASL
PFN1,RHOQ
PFN1,XPO6
PFN1,ENAH
PFN1,APBB1IP
PFN1,WIPF2
PFN2,SYN1
PFN2,ROCK1
PFN2,VASP
PFN2,FHOD1
PFN2,EVL
PGD,NAA38
PGM1,S100A1
PGM1,S100B
PHB,RB1
PHB,RBL2
PHB,TP53
PHB,SMARCA2
PHB,NCOR1
PHB,SMARCA4
PHB,SIN3A
PHKG1,CTRC
PHKG1,PHKG2
PIAS2,SNIP1
PIGR,RAB3B
PIGR,CCL5
PIGR,AP1M1
PIK3CA,PRKCD
PIK3CA,SH3KBP1
PIK3CA,IRS4
PIK3CA,PIK3R3
PIK3CA,MRAS
PIK3CA,RASD2
PIK3CB,PIK3R1
PIK3CB,PRKCE
PIK3CB,PRKCD
PIK3CD,PIK3R1
PIK3R1,NUP85
PIK3R1,PTPN11
PIK3R1,TYK2
PIK3R1,SRC
PIK3R1,TGFBR1
PIK3R1,TUBG1
PIK3R1,SH3KBP1
PIK3R1,WAS
PIK3R1,SYN1
PIK3R1,RRAS2
PIK3R1,TEK
PIK3R1,TIE1
PIK3R1,SHB
PIK3R1,TYRO3
PIK3R1,SLC9A2
PIK3R1,SHC1
PIK3R1,PTK2
PIK3R1,IRS2
PIK3R1,MAPK8
PIK3R1,RAC1
PIK3R1,TUBA1B
PIK3R1,ADAM12
PIK3R1,BCAR1
PIK3R1,IRS4
PIK3R1,SOCS1
PIK3R1,CD2AP
PIK3R1,HGS
PIK3R1,TOM1L1
PIK3R1,TRAT1
PIK3R1,YWHAG
PIK3R1,AGAP2
PIK3R1,VAV3
PIK3R1,GAB2
PIK3R1,PIK3AP1
PIK3R1,GAB3
PIK3R1,ARHGAP32
PIK3R1,PPM1A
PIK3R1,WBP11
PIK3R1,PTPN6
PIM1,PTPRO
PIM1,SND1
PIM1,CBX3
PIM1,CBX1
PIN1,PTPN1
PIN1,RAB4A
PIN1,UBB
PITPNA,PLCG1
PITX1,POU1F1
PKD1,PKD2
PKD1,TLN1
PKD1,SRC
PKD2,CD2AP
PKD2,TNNI3
PKD2,TRPC1
PKD2,HAX1
PKM2,SORBS2
PKM2,EXOSC5
PKN1,MAP2K6
PKN1,MAPK12
PLA2G1B,PLA2G2A
PLA2G1B,PLAA
PLA2G2A,PLA2R1
PLAT,PLG
PLAT,MAPK1
PLAT,SPARC
PLAT,CLEC3B
PLAT,PLAU
PLAT,MAPK3
PLAT,LRP1B
PLAT,CKAP4
PLAU,PLG
PLAU,PLAUR
PLAUR,VTN
PLAUR,LRP1B
PLCG1,VAV1
PLCG1,ZAP70
PLCG1,GNB2L1
PLCG1,SOS1
PLCG1,SRC
PLCG1,WAS
PLCG1,SYN1
PLCG1,SYK
PLCG1,SHB
PLCG1,PTK2
PLCG1,IRS2
PLCG1,PTPRJ
PLCG1,TUB
PLCG1,SOS2
PLCG1,DGKZ
PLCG1,SH3BP2
PLCG1,LAT
PLCG1,PLD2
PLCG1,KHDRBS1
PLCG1,PKN2
PLCG1,PICALM
PLCG1,BAG3
PLCG1,PRKD1
PLCG1,AGAP2
PLCG1,VAV3
PLCG1,SNAP91
PLCG1,GIT1
PLCG1,USO1
PLCG1,LAT2
PLCG1,TNK1
PLCG1,TRPM7
PLCG1,ARHGAP32
PLCG1,SOCS7
PLCG1,TRPC3
PLD1,PRKCA
PLD1,RALA
PLD2,PRKCA
PLD2,PRKCD
PLEC,SPTAN1
PLEC,SPTA1
PLG,PRNP
PLG,SPARC
PLG,CLEC3B
PLG,THBS1
PLG,SERPINF2
PLG,AMOT
PLG,TFPI2
PLG,RUVBL1
PLG,CDCP1
PLIN1,PRKACA
PLK1,PSMA3
PLK1,PSMA5
PLK1,CEP55
PLN,S100A1
PLN,PPP1R3A
PLN,PRKACA
PLN,SLN
PLSCR1,SLPI
PLSCR1,PRKCD
PMCH,MCHR2
POLA1,RB1
POLB,PRKCA
POLD1,WRNIP1
POLD2,WRNIP1
POLD2,WRN
POLG,SSBP1
POLR3D,POLR3E
POMC,VTN
POU1F1,NR1I2
POU1F1,NR1I3
PPARA,MAPK1
PPARA,RXRA
PPARA,NCOR2
PPARA,NCOR1
PPARA,MAPK3
PPARA,DAP3
PPARA,NRIP1
PPARA,NCOA1
PPARA,MED1
PPARA,PPARGC1A
PPARA,AKAP13
PPARA,GADD45G
PPARA,MED24
PPARA,NR1H3
PPARA,AIP
PPARA,NRBF2
PPARA,PRIC285
PPARA,MECR
PPARG,MAPK1
PPARG,RXRA
PPARG,RXRG
PPM1A,PRKCD
PPP1CA,EIF2AK2
PPP1CA,PRKCD
PPP1CA,ZFYVE9
PPP1CC,EIF2AK2
PPP1R8,MELK
PPP2CA,PRKCD
PPP2CA,RHO
PPP2CB,AXIN1
PPP2CB,PACS1
PPP2CB,LCMT1
PPP2R5A,EIF2AK2
PPP2R5C,PRKCD
PPP4C,REL
PRDX1,PRDX4
PRG2,PRKCZ
PRKACA,NUP85
PRKACA,PTPN7
PRKACA,RRAD
PRKACA,RAP1A
PRKACA,RAP1B
PRKACA,RYR1
PRKACA,RYR2
PRKACA,PRKAR1A
PRKACA,SRC
PRKACB,PKIA
PRKACB,PKIB
