source,target
ATF3,JUN
ATF3,JUND
ATF4,JUN
ATF4,CEBPB
ATF4,GTF2F2
ATM,RAD51
ATM,E2F1
ATN1,PSMA3
ATN1,GIGYF1
ATN1,SIAH1
ATN1,SIAH2
ATN1,SLIT1
ATN1,TEP1
ATN1,TRIP6
ATN1,PRRC2A
ATN1,BAG6
ATN1,GCC1
ATN1,ALG13
ATN1,KAT6A
ATN1,RBM10
ATN1,KRTAP4-12
ATN1,LTBP4
ATN1,NCK2
ATN1,SYVN1
ATN1,MEGF11
ATN1,RHOXF2
ATN1,PRRC2B
ATN1,EFCAB4B
ATN1,CHRD
ATN1,CBFA2T2
ATP1A1,CFL1
ATP1A1,MAPK3
ATP1A1,FXYD2
ATP1A1,FXYD1
ATP1A1,TPT1
ATP1A2,TPT1
ATP1B1,FXYD1
ATP1B2,NGB
ATR,FLT1
ATR,E2F1
AVP,OXTR
AVPR1A,PRKCA
AXL,GRB2
BAG1,PDGFRB
BAG1,RB1
BAG6,PRPF40A
BAG6,ZFYVE9
BCAT1,SMAD5
BCHE,COLQ
BCR,YWHAB
BCR,YWHAG
BCR,YWHAH
BCR,SFN
BCR,YWHAE
BCR,GRB2
BGN,PLA2G1B
BICD1,RAB6A
BIN1,SOS1
BIN1,MYC
BLK,CBL
BLM,RAD51
BLM,RPA1
BLM,SUMO2
BLM,SUMO3
BMP4,ZFYVE9
BMPR2,PRKCB
BMPR2,MOS
BMX,ITK
BMX,SRC
BRCA2,RAD51
BSG,SLC2A4
BTK,VAV1
BTK,LYN
BTK,CBL
BTK,PRKCB
BTK,ITK
BTK,PRKCZ
BTK,PRKCQ
BTK,PRKCE
BTK,PRKCA
C1QBP,MAPK1
C1QBP,PRKCA
C1QBP,PRKCD
C3,LRP1
C4BPA,LRP1
C6,F2
C7,PLG
C7,CLU
C8A,CD59
C9,CD59
CA2,SLC9A1
CACNA1A,SYT1
CAD,MAPK1
CALD1,GRB2
CALM1,REL
CALM1,PTPRA
CALM1,FER
CALM1,RRAD
CALM1,RALA
CALM1,RALB
CALM1,DDX5
CALM1,SYT1
CALM1,GRM3
CALM1,GRM4
CALM1,KRAS
CALR,LRP1
CAMK2A,PDC
CAMK2A,CEBPB
CAMK2D,RPS18
CAMK2G,RRAD
CAMK2G,RYR1
CAMK2G,SPR
CAMK2G,LRRC7
CAMP,PRTN3
CANX,IFNGR1
CANX,LRP1
CAPN3,FLNC
CAPZA1,S100A1
CAPZA1,S100B
CASK,SDC3
CASP1,TFAP2A
CASP3,LYN
CASP3,DSG3
CASP3,TFAP2A
CASP3,EIF2AK2
CASP3,PRKCZ
CASP3,RAD51
CASP3,RB1
CASP3,PTMA
CASP3,SP1
CASP6,TFAP2A
CASP7,EIF2AK2
CASP8,EIF2AK2
CASP8,GMEB1
CASP9,MAP2K1
CASP9,MAPK1
CASP9,GMEB1
CASQ2,ANKRD1
CASR,PRKCA
CASR,PRKCB
CASR,PRKCG
CAV1,PDGFRA
CAV1,PRNP
CAV1,PTPN11
