source,interactions,pathways,diseases
PPP2R1A,TAB1,[10],[0]
KIF15,KIAA1377;MAP1LC3A;KIAA1143;CDCP1;KIF9,[2],[0]
ESR1,SMARCA4,[118],[0]
CDK8,SMARCA4,[4],[0]
SIGLEC12,DNAAF3,[0],[0]
RB1,SMARCA4,[16],[16]
HMGA1,SUFU,[1],[0]
SLC9A3R2,IFT140,[0],[0]
CDK3,FOXJ1,[0],[0]
NCOA3,SUFU,[1],[0]
UBC,CNTRL;NEK8,[0],[0]
RANGRF,CXCL16,[0],[0]
GAP43,LOX,[0],[0]
ACVR1,NEK8,[0],[2]
GALNT3,LRP2,[1],[0]
VIP,PRICKLE1,[1],[0]
SNX17,RLIM;KCNG3,[0],[0]
VIM,MICAL1;KIF15,[2],[0]
HIATL2,ANKS6,[0],[0]
CDH1,PKD1,[24],[24]
BRSK1,DNAAF3,[0],[0]
NR3C1,SMARCA4,[39],[39]
STUB1,DYX1C1,[2],[0]
CDH6,DNAH5,[1],[0]
HMGXB4,TAB1,[0],[0]
CD4,CXCR4,[2],[0]
PAFAH1B1,DNAI1,[2],[2]
FBN2,LTBP1,[1],[1]
EHD1,MICAL1,[1],[0]
HSPA8,CXCR4,[4],[0]
CHD4,SMARCA4,[0],[0]
CHD3,KIF15,[0],[0]
CEBPA,SMARCA4,[1],[1]
KLK7,FUZ,[0],[0]
RSG1,FUZ,[0],[0]
CEBPB,SMARCA4,[1],[0]
COL4A1,CXCR4,[9],[9]
KLK3,PTHLH;PZP;SEMG1;SEMG2;EPOR;SERPINA5;SERPINA1;IGFBP3;PLG;SLPI;FN1;PIR;ZNF331;SCML1;PBK,[1],[0]
CREB1,SMARCA4,[12],[0]
FBN1,LTBP1,[12],[12]
C4BPA,LRP1,[1],[1]
TAB1,MICAL1;ZMYND11;TRPC4AP;ASRGL1;PTPMT1;NXPH3;GIT1;C9orf78;C2orf44;MTG2;PHACTR3;TAB2;CARD11;POLDIP2;MON1A;SNRNP35;KIFC2;LAP3;TAB3;ACAP3;ARAP1;LCMT1;XPO7;CORO1A;CDK5RAP3;KDELR3;IFT27;CXCL16,[2],[0]
ANXA2,SMAD6,[0],[0]
SCFD1,HECTD1,[0],[0]
JAK1,CXCR4,[1],[0]
JAK2,CXCR4;PKD1,[3],[3]
