A2M,LRP1
A2M,KLK3
ABL1,MICAL1
ABL1,ROBO1
ACAN,MMP20
ACAN,MMP14
ACAN,CTSB
ACAN,ADAMTS1
ACAN,TNR
ACAN,LUM
ACAN,MMP19
ACAN,FBLN1
ACAN,MMP1
ACAN,MMP3
ACAN,ADAMTS4
ACAN,VCAN
ACAN,FBLN2
ACAN,ADAMTS5
ACAN,MMP2
ACAN,TNFAIP6
ACAN,HAPLN1
ACAN,MMP8
ACAN,BLM
ACAN,MAN2A2
ACAN,SLCO3A1
ACAN,IDH2
ACAN,STARD5
ACAT1,CXCR4
ACPT,DNAAF3
ACTB,SMARCA4
ACTL6A,SMARCA4
ACTN1,PKD1
ACVR1,NEK8
ADRBK2,CXCR4
AHR,SMARCA4
AKR1C1,SUFU
ALB,LRP2
ALB,KLK3
AMH,PCSK5
ANKRD50,SPATA5
ANXA2,SMAD6
AP1B1,AMPH
AP1B1,AP2M1
AP1B1,ARRB2
AP1B1,ATR
AP1B1,AP1G1
AP1B1,ATF7IP
AP1B1,SMAD2
AP1B1,BUB1
AP1B1,BUB1B
AP1B1,SHBG
AP1B1,AP1M2
AP1B1,AP1M1
AP1B1,KIF13A
AP1B1,CLINT1
AP1B1,PRKDC
AP1B1,ATM
AP1B1,PIP5K1C
AP1B1,CREBBP
AP1B1,CLTC
AP1B1,ARF1
AP1B1,ARF5
AP1B1,ARF6
AP1B1,NTRK2
AP1B1,BARD1
AP1B1,FBXO7
AP1B1,PSME1
AP1B1,PARD3
AP1B1,ME1
AP1B1,PHF5A
AP1B1,TEX33
AP1B1,CYTH4
AP1B1,CDC42EP1
APBA2,LRP2
APBA2,LRP1
APBB1,LRP1
APBB1,LRP2
APOB,LRP2
APOE,LRP1
APOE,LRP2
APOH,LRP2
APP,LRP1
APP,CXCL16
APP,LRP2
APP,ANKS6
AR,SMARCA4
ARMC4,ARHGAP21
ARMC4,OTUD1
ARRB2,CXCR4
ATN1,MEGF8
ATN1,PCSK5
ATN1,LRP2
ATN1,LTBP1
BEND3,MICAL1
BICC1,FAM13C
BMPR1A,TAB1
BMPR1B,SMAD6
BRCA1,SMARCA4
BRIX1,C5orf42
BRSK1,DNAAF3
BTRC,SUFU
C1orf127,TMEM201
C1orf127,NPHP4
C2orf16,DRC1
C2orf44,DRC1
C3,LRP1
C4BPA,LRP1
C5orf42,CAPSL
C5orf42,SPEF2
C5orf42,NADK2
CACNA1A,PCSK5
CACNA1A,MEGF8
CACNA1A,LRP1
CACNA1A,LTBP1
CAD,LTBP1
CALR,LRP1
CANX,LRP1
CARD18,DYNC2H1
CASP6,TAB1
CAV1,LRP1
CC2D2A,CPEB2
CC2D2A,NCAPG
CCDC151,OR7G1
CCDC151,OR7D4
CCDC151,RLN3
CCDC151,RAVER1
CCDC151,ZNF653
CCL25,SMARCA4
CCNE1,SMARCA4
CCNE1,MEGF8
CCR5,CXCR4
CD19,MICAL1
CD4,CXCR4
CD79B,FOXJ1
CD82,LRP1
CDC40,HACE1
CDC6,PSKH1
CDH1,PKD1
CDH6,DNAH5
CDK3,FOXJ1
CDK8,SMARCA4
CDKN2A,SMARCA4
CDKN2A,DNAI1
CDX2,SMARCA4
CEBPA,SMARCA4
CEBPB,SMARCA4
CECR2,PRICKLE1
CELSR3,IFT140
CENPO,DRC1
CFC1,MZT2B
CFC1,CCDC74B
CFL1,TAB1
CHD3,KIF15
CHD4,SMARCA4
CHEK1,PDE2A
CIITA,SMARCA4
CISD1,BICC1
CKB,TAB1
CKB,DNAH5
CLCN5,CXCR4
CLIC1,PCSK5
CLU,LRP2
COL1A1,PKD1
COL2A1,PKD1
COL3A1,LRP2
COL4A1,CXCR4
COMMD10,SEMA6A
COX11,MICAL1
CREB1,SMARCA4
CRK,MICAL1
CSN2,NEK8
CSRP2,LRP1
CTGF,LRP1
CTNNA1,PKD1
CTNNB1,PKD1
CTNNB1,SMARCA4
CTNND2,DNAH5
CTSG,CXCR4
CTSG,LRP1
CXCL12,CXCR4
CXCL16,NEURL4
CXCR4,USP14
CXCR4,SOCS1
CXCR4,GNA13
CXCR4,ITCH
CXCR4,SOCS3
CXCR4,ATP13A2
CXCR4,DHX57
CXCR4,AGO3
CXCR4,SCAMP2
CXCR4,C2orf27B
CXCR4,FTO
CXCR6,CXCL16
CYP4F3,SMARCA4
DAB1,LRP1
DAB1,LRP2
DAB2,LRP1
DAB2,LRP2
DAP,DNAH5
DBN1,TAB1
DES,PKD1
DLG1,LRP2
DLG2,LRP2
DLG3,LRP2
DLG4,LRP1
DLG4,LRP2
DNAAF3,LILRA5
DNAAF3,SIGLEC14
DNAH11,CPVL
DNAH11,GGCT
DNAH5,TRIO
DNAH5,MVP
DNAH5,MYO10
DNAH5,MICAL1
DNAH5,RAN
DNAH5,TLE1
DNAH5,RBFOX2
DNAH5,6-Mar
DNAH5,LARGE
DNAI1,ATG10
DNAJA3,IFT140
DOCK1,MMP21
DPP4,CXCR4
DPT,LOX
DRC1,TCF23
DYNC2H1,ANGPTL5
DYNC2LI1,DYNC2H1
DYX1C1,PRTG
DYX1C1,WDR72
EHD1,MICAL1
ELANE,CXCR4
ELANE,LRP1
ELF4,CFC1
ELN,LOX
ELP6,KIF15
ENG,CNTRL
EPRS,TAB1
ESR1,SMARCA4
ETS2,SMARCA4
EVI5L,CCDC151
EVL,SEMA6A
EYA2,LOX
F8,LRP1
F9,LRP1
FADD,TAB1
FANCA,SMARCA4
FBN1,LTBP1
FBN2,LTBP1
FDX1L,CCDC151
FKBP1A,FOXJ1
FN1,PKD1
FN1,LTBP1
FN1,TAB1
FOLR1,PDE2A
FOXJ1,RPUSD1
FOXJ1,NMRAL1
FOXJ1,OIP5
FOXJ1,TWF2
FOXJ1,TRMT6
FOXJ1,THRA
FOXJ1,SLC37A3
FOXJ1,GATA6
FOXJ1,PRKCA
FOXJ1,FBXO22
FOXJ1,SMURF2
FOXJ1,PECAM1
FOXJ1,ATP10A
FOXN2,LTBP1
FREM2,SERTM1
FREM2,NHLRC3
GADD45A,MICAL1
GALNT3,LRP2
GAP43,LOX
GATA1,SMARCA4
GC,LRP2
GCOM1,DYX1C1
GEMIN4,CXCL16
GLDC,DNAI1
GLI1,SUFU
GLI2,SUFU
GLI3,SUFU
GNAI1,CXCR4
GRB2,MICAL1
GSK3B,MICAL1
GSTM1,CXCL16
H1FX,PLXND1
H2AFX,SMARCA4
H3F3A,SMARCA4
HACE1,POPDC3
HACE1,BEND3
HACE1,RPF2
HACE1,MICAL1
HIATL2,ANKS6
HIP1R,PRICKLE1
HIST1H1A,LOX
HIST1H1B,LOX
HK3,LRP2
HLA-C,CXCR4
HMGA1,SUFU
HMGCL,SMARCA4
HMGXB4,TAB1
HNRNPA1,SUFU
HNRNPR,TAB1
HOXA1,PCSK5
HOXC8,SMAD6
HPR,PSKH1
HSF1,SMARCA4
HSF4,SMARCA4
HSPA1A,DYX1C1
HSPA8,CXCR4
IFT140,TRAP1
IFT140,TELO2
IFT140,ZNF263
IGFBP3,LTBP1
IGSF1,HECTD1
IL32,IFT140
IL6,DNAH11
INS,LRP2
INTS8,TMEM67
IP6K2,KIF15
ITGA6,PCSK5
ITGB5,LTBP1
ITGB7,ZBTB14
ITSN2,SEMA6A
JAK1,CXCR4
JAK2,CXCR4
JAK2,PKD1
JAK3,CXCR4
JUP,PKD1
KHNYN,HECTD1
KIF15,KIAA1377
KIF15,MAP1LC3A
KIF15,KIAA1143
KIF15,CDCP1
KIF15,KIF9
KLK3,PTHLH
KLK3,PZP
KLK3,SEMG1
KLK3,SEMG2
KLK3,EPOR
KLK3,SERPINA5
KLK3,SERPINA1
KLK3,IGFBP3
KLK3,PLG
KLK3,SLPI
KLK3,FN1
KLK3,PIR
KLK3,ZNF331
KLK3,SCML1
KLK3,PBK
KLK7,FUZ
KRT18,PKD1
KRT8,PKD1
LAMTOR3,SUFU
LAPTM4B,TMEM67
LCN2,LRP2
LDLR,SNX17
LENG9,DNAAF3
LGALS3,SUFU
LIPC,LRP1
LOX,HIST1H2BJ
LOX,DHDDS
LOX,HIST2H2BE
LOX,ZNF608
LOX,SNX24
LOX,ZNF202
LOX,NAMPT
LOX,MYL4
LPA,LRP2
LPL,LRP1
LPL,LRP2
LRP1,GIPC1
LRP1,MAPK8IP1
LRP1,HSP90B1
LRP1,THBS1
LRP1,ANAPC10
LRP1,KAT5
LRP1,PDGFB
LRP1,SYNJ2BP
LRP1,WNT3A
LRP1,FURIN
LRP1,ITGB1BP1
LRP1,SNX17
LRP1,SRC
LRP1,SERPINE1
LRP1,SHC1
LRP1,BACE1
LRP1,LRPAP1
LRP1,SKIL
LRP1,PLAT
LRP1,PLAUR
LRP1,LTF
LRP1,SCN3A
LRP1,GTPBP1
LRP1,MDK
LRP1,MMP13
LRP1,MMP14
LRP1,MMP15
LRP1,MMP16
LRP1,MMP17
LRP1,SERPINA1
LRP1,PRKACA
LRP1,MAPK8IP2
LRP1,NOS1AP
LRP1,GULP1
LRP1,HNRPDL
LRP1,MAPRE1
LRP1,ANKS1B
LRP1,CC2D1A
LRP1,SNRNP70
LRP1,PID1
LRP1,RIC8B
LRP1,PIGA
LRP1,NAB2
LRP1,PMEL
LRP2,GIPC1
LRP2,LDLRAP1
LRP2,GPRASP1
LRP2,THBS1
LRP2,SLC9A3
LRP2,ANAPC10
LRP2,ANKRA2
LRP2,SYNJ2BP
LRP2,MAPK8IP1
LRP2,ITGB1BP1
LRP2,SNX17
LRP2,RBP1
LRP2,SCGB1A1
LRP2,SERPINE1
LRP2,ANKS1B
LRP2,TLN1
LRP2,LRPAP1
LRP2,PLAU
LRP2,SCN3A
LRP2,CUBN
LRP2,MDK
LRP2,PIP5K1C
LRP2,TTR
LRP2,MAPK8IP2
LRP2,MAGI1
LRP2,NOS1AP
LRP2,LRP2BP
LRP2,TG
LRP2,TANK
LRP2,TBR1
LRP2,TSSC1
LRP5,PDE2A
LRP8,SNX17
LRRK2,PRICKLE1
LTBP1,TGFB1
LTBP1,TGM2
MAP3K4,CNTRL
MAP3K7,TAB1
MAPK10,CEP290
MAPK11,TAB1
MAPK14,TAB1
MAPK14,ROBO1
MAPK6,CNTRL
MAPKAPK5,TAB1
MARK2,PKD1
MEGF8,GFI1B
MEGF8,SYT5
MEGF8,HPN
MEGF8,URI1
METTL21B,DNAI1
MICAL1,RAB1B
MICAL1,RPF2
MICAL1,TRIM5
MICAL1,GTF3C6
MKI67,KIF15
MKS1,TMEM67
MMP21,NPS
MMP21,CLRN3
MMP21,FOXI2
MSN,CFC1
MUC16,CCDC151
MYBL2,CXCR4
MYC,SMARCA4
MYH9,CXCR4
NCOA3,SUFU
NDUFS1,CFC1
NDUFV1,PDE2A
NEDD9,MICAL1
NEK2,IFT140
NPPB,SMARCA4
NPR2,DNAI1
NR2C2,TAB1
NR3C1,SMARCA4
NR4A2,SMARCA4
NTHL1,PKD1
NTN3,PKD1
OGT,TAB1
OLFM2,CCDC151
OR1F1,PKD1
P4HTM,KIF15
PAFAH1B1,DNAI1
PAK1,C5orf42
PAX6,SMARCA4
PAXIP1,DYNC2H1
PBX3,CNTRL
PCSK5,REN
PCSK5,APPBP2
PCSK5,PTPRM
PCSK5,PMCH
PCSK5,DEK
PCSK5,SH3GLB1
PDCD6IP,TAB1
PDE2A,FAM168A
PDE2A,RPS3
PDE2A,ANAPC15
PDE2A,SPAG7
PDE2A,FCHSD2
PDE2A,HSD17B6
PDE2A,RPS6KA4
PDE2A,GLS2
PDE4A,SMARCA4
PDPK1,PKD1
PEX10,SNX17
PFDN1,IFT140
PFDN6,CFC1
PHB,SMARCA4
PHC2,TAB1
PIAS1,SUFU
PIK3R3,MICAL1
PIP4K2A,ARMC4
PKD1,VCL
PKD1,HDAC9
PKD1,VIM
PKD1,SIAH1
PKD1,RGS7
PKD1,ATF7IP
PKD1,PXN
PKD1,PTK2
PKD1,TLN1
PKD1,SRC
PKD1,BCAR1
PKD1,PKD2
PKD1,SOX17
PKD1,DDX58
PKD1,RPL3L
PKD1,PPL
PKD1,NADSYN1
PLAGL1,ZBTB14
PLEKHB2,CFC1
